fréquence	t	UD
6	pinvidik	
6	geuneuta	
6	petramant	
6	broz	
6	digand	
6	amezegezed	
6	gaozerien	
6	alïez	
6	goshaat	
6	unanik	
6	hejet	
6	riv	
6	dra-ze	
6	zó	
6	kriz	
6	hallfes	
6	hardiz	
6	eil.	
6	torkad	
6	Brema-zouden	
6	eot	
6	roio	
6	ognad	
6	deoh-hu	
6	êr	
6	nepred	
6	a-zivrec'h	
6	nen.	
6	glao	
6	manket	
6	benveg	
6	bien	
6	beure	
6	vijent	
6	chistr	
6	Gweled	
6	béd	
6	Bep	
6	ervat	
6	Kouet	
6	a-greiz	
6	badadav	
6	kokouz	
6	voz	
6	vefent	
6	he-deus	
6	Pedin	
6	kerkent	
6	klanv	
6	peg	
6	hein	
6	deue	
6	lavarent	
6	haoud	
6	livr	
6	leh	
6	c'houi	
6	traou-ze	
6	verve	
6	sko	
6	labourent	
6	aent	
6	Barzh	
6	Kroget	
6	Breudeur	
6	c'hreier	
6	voulerezh	
6	burug	
6	droch	
6	c'hwec'h	
6	glever	
6	tammoù	
6	goudor	
6	labouran	
6	Yann.	
6	jouch	
6	kaver	
6	ene	
6	alies)	
6	komprenet	
6	fors	
6	béa	
6	pehe	
6	ray	
6	nije	
6	neoñ	
6	zond	
6	lezas	
6	voger	
6	glô	
6	antronoz	
6	hoefou	
6	taolioù-mouezh	
6	qet	
6	zaout	
6	A-wichoù	
6	ner	
6	c’hoant	
6	barbecue	
6	anmañ	
6	debet	
6	Boued	
6	mallestoupen	
6	Soñj	
6	ka	
6	emañ-eoñ	
6	(tomm)	
6	bihanoc'h	
6	Gall	
6	deoz	
6	kolo	
6	krediñ	
6	kiriek	
6	vamm-gozh	
6	zud-kozh	
6	poz	
6	Heñv	
6	c'hleñved	
6	garreg	
6	Skrivet	
6	eûz	
6	Laeret	
6	paset	
6	rankchomp	
6	friad	
6	afe	
6	bian	
6	vian	
6	diarvar	
6	zro	
6	bag	
6	gwezh	
6	vagajen	
6	c'hear	
6	truez	
6	kudennoù	
6	deveriñ	
6	Betaat	
6	a-vuzul	
6	vrasait	
6	houarnaj	
6	Hir	
6	garehe	
6	Treuziñ	
6	lennerion	
6	loenig	
6	gronnet	
6	danter	
6	gwiskiñ	
6	kenseurted	
6	amezeion	
6	vehé	
6	sord	
6	guskemanteu	
6	Breih	
6	laket	
6	deloh	
6	genomp	
6	achu	
6	Hei	
6	ofiserion	
6	siliñ	
6	c'hostez	
6	amc'houloù	
6	mah	
6	mounet	
6	asamp	
6	kenoh	
6	o-daou	
6	herzel	
6	beban	
6	poania	
6	naket	
6	beñ	
6	diàrnezhe	
6	frond	
6	c'hwek	
6	tivorenniñ	
6	Pariz	
6	əwaj	
6	Alan	
6	manier	
6	tle	
6	fôt	
6	uel	
6	goûg	
6	kennig	
6	Mestr	
6	fal	
6	get-n-eign	
6	vennahe	
6	zrugarekaat	
6	goshañ	
6	fachet	
6	bourc'h	
6	quet	
6	vehec'h	
6	paravis	
6	goust	
6	ledan	
6	karget	
6	muioh	
6	labourint	
6	tostoc'h	
6	zur	
6	vefes	
6	gwaremmeier	
6	meinekañ	
6	dreu-s	
6	pad'	
6	duran'	
6	fennet	
6	moe	
6	esaee	
6	Sañset	
6	Aaaa	
6	ayayaylh	
6	vouefes	
6	chapel	
6	velan	
6	(mad)	
6	gof	
6	kein	
6	kost'	
6	verr-alan	
6	disklêriet	
6	taw	
6	gis	
6	faro	
6	goude-se	
6	lêz	
6	hich	
6	ab'	
6	mall	
6	ganeoñ	
6	yade	
6	fillor	
6	larout	
6	deun	
6	takad	
6	mè'	
6	boull'	
6	nn.	
6	distu	
6	Blam	
6	gwashoc'h	
6	oñ	
6	nezhañ	
6	gallon	
6	tchet	
6	glep	
6	gargas	
6	pouez	
6	nenn	
6	Kemper	
6	ow	
6	c'hrouadur	
6	tourlonka	
6	defotadou	
6	sizun:	
6	roustat	
6	goassa	
6	sizhuniad	
6	asamblez	
6	evezia	
6	Ki	
6	werze	
6	pakadou	
6	chalotez	
6	glas-kaol	
6	Méd	
6	Sate	
6	espress	
6	(kondui)	
6	Antronoz	
6	deuas	
6	Kerzed	
6	reom	
6	vili	
6	ô	
6	E-skoaz	
6	Louedañ	
6	soudardig	
6	Kavout	
6	gourlan	
6	gwagennou	
6	douar-braz	
6	gouezhe	
6	hae	
6	(lesket)	
6	Alain	
5	la:ɤ	
5	gɛj_ə_ɤ	
5	a_ɤ_	
5	veɤjõn_ə_	
5	true	
5	koat	
5	henn'	
5	gari	
5	blass	
5	deusouzoc'h	
5	Fanch	
5	Deuz	
5	bellât	
5	trubuill	
5	enkrezo	
5	houmañ	
5	èn	
5	gevier	
5	lared	
5	gir	
5	bar	
5	wenneien	
5	vrav	
5	Dao	
5	Breur	
5	Arzhur	
5	bazar-se	
5	Aotrounez	
5	kement-mañ:	
5	vro-se	
5	Ez-yaouank	
5	luc'hskeudenniñ	
5	Pell	
5	difennet	
5	degouezet	
5	Fidamdoustik	
5	Hama	
5	kont	
5	renk	
5	vleunienn-se	
5	eoc'h	
5	lamet	
5	manac'h	
5	roñseed	
5	bras-disec'het	
5	(bet)	
5	Gemper	
5	Oc'hola	
5	welen	
5	gouelañ	
5	(ebet)	
5	Ø	
5	Pamba	
5	domm	
5	bez'	
5	paotrig	
5	kontañ	
5	Dam	
5	edont	
5	c'hoarvez	
5	Komzit	
5	rafen	
5	kerz	
5	frouezh	
5	c'hraou	
5	ezan	
5	Torret	
5	grediñ	
5	den,	
5	tanfoeltr	
5	Em	
5	gwirionez	
5	kignet	
5	Brest	
5	gwreg	
5	Brav	
5	sae	
5	gomz	
5	hemañ-hen	
5	keizh	
5	Tan-gwallet	
5	pizh-rac'h	
5	vagazinioù	
5	Gambr-a-Genverzh	
5	honnezh	
5	Droug	
5	c'havout	
5	zeod	
5	gig	
5	c'hreñvlec'h	
5	Ra	
5	Soaz	
5	eontr	
5	hed	
5	anezan	
5	dri	
5	pladad	
5	☠	
5	ti-se	
5	pet	
5	welout	
5	(morse)	
5	dok	
5	Adarre	
5	N’eus	
5	anavezan	
5	gwerzhet	
5	raimp	
5	Koll	
5	Pegement	
5	puñs	
5	devez	
5	zigeri	
5	galloudoù	
5	Stad	
5	_ø]_	
5	sioul	
5	Maint	
5	een	
5	ankounah	
5	sardin	
5	Pebez	
5	lonkadeg	
5	hleuz	
5	krennet	
5	harz:	
5	tort	
5	Pipi	
5	pleget	
5	turlutad	
5	souflez	
5	gloaneier	
5	gwragez	
5	heligentañ	
5	etreze	
5	vesaerien	
5	greisteiz	
5	lin	
5	az-peus	
5	pefe	
5	jedoniezh	
5	lec'hioù	
5	abilitaj	
5	kanaillez	
5	diouig	
5	z-po	
5	bara-ze	
5	chomi	
5	kourvez	
5	libistret	
5	goh-saout	
5	A-baouez	
5	a-unan	
5	vandenn	
5	a-bez	
5	a-gement	
5	c'hoarz	
5	ouzoh	
5	zal	
5	orolaj	
5	diwezad	
5	aztov	
5	neizh	
5	gouarnamant	
5	hik	
5	Para	
5	ahe	
5	tav	
5	wezenn	
5	zeh	
5	bannah	
5	gwel	
5	vern	
5	hirie	
5	hop	
5	boutet	
5	dapout	
5	toulladou	
5	klev	
5	sec'h.	
5	sachañ	
5	Lom	
5	tren	
5	pan	
5	dostenn-ze	
5	hrohenn	
5	vezen	
5	lesanvet	
5	flah	
5	vanne	
5	war-eeun	
5	Papa	
5	gwasad	
5	loer	
5	verklenn	
5	vantel	
5	gloc'horennoù	
5	a-geñver	
5	señturenn	
5	Pësort	
5	duoñn	
5	laeronsi	
5	ruzañ	
5	c'horz	
5	badont	
5	Skuizh	
5	soniñ	
5	kreizteiz	
5	'
2	pare	
5	zioc'h	
5	zamm	
5	kanfe	
5	(er	
5	bloavezh-mañ)	
5	gaser	
5	foot	
5	a_ʁ_	
5	Furchet	
5	harter	
5	bolised.	
5	varc'h	
5	seiz	
5	gwiniz	
5	beg	
5	begad	
5	wid	
5	gouezet	
5	veui	
5	neui	
5	vlaz	
5	peneus	
5	vourh	
5	Klev	
5	Bobby	
5	Fisher	
5	gonta	
5	Great	
5	mès	
5	lakay	
5	laboure	
5	faskou	
5	laeroñsioù	
5	enn	
5	tad-koz	
5	alc'hwez	
5	eo-hi	
5	baka	
5	c'hourrier	
5	savanenn	
5	Afrika	
5	int-i	
5	gwiaderien	
5	Goudeze	
5	mestrez	
5	gwazed	
5	mennek	
5	8e	
5	meo	
5	faotfe	
5	dehoñ	
5	bleniañ	
5	sames.	
5	galvet	
5	dud)	
5	anin	
5	ninyal	
5	kosaomp	
5	neve'	
5	lakae	
5	vugel	
5	Rak	
5	keid-all	
5	gwisket	
5	e-giz-se	
5	yan	
5	bi'	
5	Beb	
5	(a)	
5	gredan	
5	amezeg	
5	salv	
5	kartenn	
5	eur.	
5	termen	
5	fakteur	
5	base	
5	dach	
5	mintin	
5	Frañs	
5	melfed	
5	rankont	
5	tarzhet	
5	rankomp	
5	soñje	
5	Toud	
5	glasket	
5	Baradoz	
5	tizhout	
5	Amzer	
5	reor	
5	touesk	
5	berranal	
5	achumant	
5	gwinizhegi	
5	berrik-tra	
5	zoujein	
5	hemb	
5	kouezhel	
5	àr-lec'h	
5	Lod-kaer	
5	baotred,	
5	hani-ni	
5	brizonerion	
5	c'hlask	
5	gouleu	
5	alumet	
5	douaroùier	
5	Fourlichou	
5	spias	
5	a-benn-kaer	
5	Leich	
5	Nend	
5	kardlev	
5	lârer	
5	araokaet	
5	moien	
5	ə	
5	a-wael	
5	luér-gaer	
5	pehanni	
5	huil	
5	ziabél	
5	huilas	
5	Mitin-ma	
5	ekours	
5	liesoc'h	
5	garga	
5	Hani	
5	hur	
5	vrec'h	
5	kours	
5	ble	
5	sac'hadoù	
5	pen	
5	gouloù	
5	Don	
5	redo	
5	Lies	
5	Emaont	
5	wezh	
5	/parskan	
5	bud	
5	sec'hiñ	
5	foetas	
5	diroll	
5	tiskrabellat	
5	arrest	
5	kloued	
5	obus	
5	àrnezhe	
5	selle	
5	choajo.	
5	iac'h	
5	dorneiñ	
5	gunaic'h	
5	arhoac'h	
5	Haval	
5	douch	
5	vehe-heñv	
5	rac’h	
5	Dait	
5	faote	
5	emen	
5	d’e	
5	aont	
5	Pegours	
5	goarnemant	
5	voéh	
5	vestrez	
5	doc'hti	
5	eit	
5	c'hompren	
5	Én	
5	èbr	
5	heneoah	
5	fehè	
5	boéhieu	
5	Eled	
5	kañnal	
5	Peah	
5	wez	
5	foll	
5	oen	
5	choñjal	
5	unañ	
5	darzho	
5	chif	
5	hed-a-hed	
5	Kentizh	
5	èlti	
5	Pezh	
5	koll-kalon	
5	intañv	
5	arruimp	
5	izel	
5	klous	
5	siren	
5	lak	
5	guir	
5	bugalé	
5	moaien	
5	c'hellint	
5	én-dro	
5	kourachus	
5	Maon	
5	heñchou	
5	neunt	
5	kleuñiou	
5	Loa(r)iet	
5	aldouarenn	
5	botez	
5	ayayaille	
5	Gurun	
5	dustu	
5	kleiz	
5	eeoñv	
5	baoe	
5	pignat	
5	losket	
5	dezhon	
5	alho	
5	sakriti	
5	Memes	
5	chosetoù	
5	glip	
5	vask	
5	krañchet	
5	a-barz	
5	henne	
5	abaoue	
5	Peall	
5	neud	
5	pradlenn-se	
5	arhant-se	
5	Mémère	
5	ti-kêr	
5	tigoueho	
5	yiè	
5	ui	
5	bla	
5	da-dal	
5	en-oa	
5	Mez	
5	ser	
5	ont	
5	Chi	
5	cher-ni	
5	chi	
5	chemener	
5	chiou	
5	nè	
5	eben	
5	flour	
5	hann	
5	walhi	
5	Laosket	
5	grys	
5	bos	
5	palas	
5	y'	
5	lowarth.	
5	tomm-ru	
5	teo	
5	memez	
5	lesket	
5	goumañsemp	
5	c'hourrie	
5	Krozal	
5	stlaka	
5	Gwiler	
5	teufoc'h	
5	reizh	
5	roin	
5	kreskañs	
5	tiegezh	
5	a-wel	
5	c'hellout	
5	paeañ	
5	krevet	
5	bourjinerezh	
5	bloavezh	
5	a-eneb	
5	dant	
5	Kaou	
5	tachadig	
5	darze	
5	bravoc'h	
5	egéd	
5	rinklus	
5	Evelato	
5	eured	
5	bried	
5	Vodiliz	
5	troc'h	
5	bïan	
5	direct	
5	douh	
5	z'	
5	helh	
5	kredi	
5	roget	
5	c'hruadur	
5	Plad	
5	bouchoù	
5	brikoli	
5	tro-war-dro	
5	pénaos	
5	(Anna)	
5	zri	
5	lamchont	
5	varnézan	
5	pakas	
5	digant'	
5	deus-ni	
5	zouget	
5	ifern	
5	bloñset	
5	dibloñset	
5	reant	
5	magnifik	
5	dlié	
5	donvor	
5	staotaat	
5	trempañ	
5	dresañ	
5	ouzor	
5	anv-ze	
5	distresadur	
5	beuri	
5	fellas	
5	garg-ze	
5	presset	
5	evedo	
5	e(n)	
5	ac	
5	rankent	
5	kwir	
5	evned	
5	ranna	
5	reun	
5	tano	
5	êsoh	
5	daoler	
5	lakeat	
5	Miz	
5	Even	
5	reverdioù	
5	keuz	
5	pinvidikoh	
5	lizherenn	
5	Strafuilh	
5	youh	
5	teh	
5	hoad-pin	
4	karantezus	
4	fot	
4	kaɤ	
4	gud	
4	ɤã	
4	ever	
4	kever	
4	nes	
4	zh,	
4	Bastien	
4	marlouiet	
4	tigwe	
4	skuiza	
4	De	
4	dimeuz	
4	ke'	
4	werzhin	
4	dro…	
4	c'hever	
4	visae	
4	mm	
4	plet	
4	tehe	
4	zavan	
4	oabr	
4	koumouluz	
4	kerc'hat	
4	pere	
4	pigwir	
4	banerad	
4	Douarneneziz	
4	distag-meurbet	
4	baourentez	
4	nevezenti	
4	menec'h	
4	Ec'h	
4	tarlipat	
4	diniverus	
4	Damverzout	
4	furmoù	
4	lezo	
4	a-istribilh	
4	boulomoùigoù	
4	krin	
4	mareoù-mañ	
4	c'horf	
4	a-rez	
4	gare	
4	Ac'h	
4	Oc'ho	
4	M	
4	Sam	
4	?!	
4	Daltoned	
4	chañs	
4	alese	
4	Tintin	
4	Alo	
4	bardi	
4	barda	
4	rede	
4	o	
4	dao	
4	Asa	
4	armel	
4	Hêp	
4	nec'het	
4	gaouenn	
4	Eus	
4	beleg	
4	dister	
4	seblant	
4	diskar	
4	em-bije	
4	kangouroued	
4	bellgomzo	
4	digempouezet	
4	bugel-se	
4	gavan	
4	gezeg	
4	lavare	
4	verc'h	
4	sammañ	
4	va-unan	
4	sonaozour	
4	teknikour	
4	Tennañ	
4	zeskiñ	
4	Dek	
4	kistin	
4	tevel	
4	1986	
4	kreizenn	
4	nukleel	
4	Tchernobyl	
4	Ukrania	
4	kreisteiz	
4	Leun	
4	Boulc'hurun	
4	Ehana	
4	dispac'ha	
4	termi	
4	kriet	
4	zourn	
4	luc'he	
4	an'	
4	tan-flamm	
4	koun	
4	c'hezeg	
4	koan	
4	prenañ	
4	estroc'h	
4	sonerezh	
4	c'haller	
4	pellgomz	
4	gweleou	
4	Kaset	
4	Ruz	
4	sec'hed	
4	fiñv	
4	santel	
4	foetañ	
4	fañsion	
4	enebour	
4	Tarzhet	
4	muzell	
4	Panevet	
4	trellet	
4	vezh	
4	izeloc’h	
4	Treiñ	
4	skolaj	
4	Goulennet	
4	diganti	
4	Nep	
4	dañjer	
4	oabl	
4	warnout	
4	eur-mañ-'	
4	n-eur	
4	vezez	
4	displegañ	
4	taolennoù	
4	misionoù	
4	delioù	
4	yer	
4	c'houer	
4	mistri	
4	Levr	
4	kement-ha-kement	
4	Krediñ	
4	Marijo	
4	kemend-all	
4	larfe	
4	kemeridigezh	
4	boulc'hurun	
4	c'hazeg	
4	Gounezet	
4	raktres	
4	c’hrennard	
4	rankout	
4	ganañ	
4	Menam	
4	Peder	
4	Skuizhañ	
4	touzañ	
4	Evel	
4	spi	
4	ma,	
4	Faziet	
4	ko	
4	bim	
4	bao	
4	>	
4	Sapredistak	
4	Redek	
4	vs	
4	gwenan	
4	dimp	
4	anezhañ.	
4	c'hare	
4	treuzkas	
4	Sed	
4	gomze	
4	Du	
4	harz	
4	lestr	
4	bleud	
4	rod	
4	werennad	
4	hualet	
4	ho-peus	
4	taouarn	
4	C’hwi	
4	You	
4	avelaj	
4	Here	
4	choukatet	
4	behiou	
4	keuneud	
4	hoad-ze	
4	lip	
4	enorabl	
4	Ya,	
4	livadenn	
4	kaoze	
4	lipadennou	
4	orjalenn-mañ	
4	disgwerañ	
4	torro	
4	moan	
4	levran	
4	laourassennoù	
4	runkunuz	
4	Gwasad	
4	Boutañ	
4	chachañ	
4	gwasañ	
4	ober(ïans)	
4	Vatriona	
4	Rest	
4	zinaou	
4	treiñ	
4	traoù-mañ	
4	kernebleh	
4	sklisenn	
4	grampouez	
4	leviet	
4	batimant	
4	antren	
4	lorc'hus	
4	geginérez	
4	da-vad	
4	stard	
4	venajerien	
4	beorien	
4	sotez	
4	out-te	
4	o-unanou	
4	Unanig	
4	skoanard	
4	falleganig	
4	hoad	
4	oud	
4	c'hloriuz	
4	Darn	
4	a-gleiz	
4	a-zehou	
4	Aliesoh	
4	buoh	
4	vur	
4	traoñv	
4	A-drek	
4	strolladoù	
4	sioulder	
4	eont	
4	zav	
4	skronn	
4	HaHa	
4	boset	
4	ougnad	
4	bervet	
4	Graphie	
4	wetur	
4	lõnke	
4	u'	
4	dalvez	
4	enebourien	
4	c'houlenne	
4	aluzenn	
4	haloupad	
4	keit-se	
4	lahet	
4	foétét	
4	kerz.	
4	bec'h	
4	klenket	
4	din-me	
4	arhant-me	
4	aint	
4	kant	
4	war-hed	
4	difetet	
4	beañ	
4	Sur	
4	kenken	
4	awal-se	
4	domaj	
4	loened-ti	
4	brizili	
4	bronn	
4	laras-añ	
4	divalo	
4	Vrest	
4	adkemere	
4	lañs	
4	douar,	
4	labourerien-douar	
4	Louiz	
4	Penegwir	
4	gaoz	
4	A-revr	
4	krommet	
4	boan-gein	
4	ennout	
4	Fulup	
4	welez	
4	binvioù	
4	zebrin	
4	Sellit	
4	chomo	
4	bgcolor=-FF80B0	
4	sentet	
4	amser	
4	pled	
4	/*	
4	Arabad	
4	bea	
4	restachou	
4	verenn	
4	labouradeg	
4	vlejal	
4	gwiskamantoù	
4	iskis-iskisoc'h	
4	gwanderiou	
4	wanded	
4	larit	
4	dero	
4	boutailh	
4	antree	
4	tostaer	
4	hreisteiz	
4	gwiniennou	
4	stankoh	
4	mohigou	
4	êriuz	
4	c'hoantuzenn	
4	fentus	
4	War-dro	
4	mintinvezh-se	
4	tegouezhas	
4	moereb	
4	Mai-Louj	
4	a-bosubl	
4	kaozeet	
4	dez	
4	trichin	
4	ampoezenn	
4	Plogon	
4	loch	
4	ibil	
4	broch	
4	bazh	
4	gad	
4	Darbedig	
4	ispilh	
4	qement	
4	goanv	
4	tiskennan	
4	c'hae	
4	(sonj)	
4	magajinoù	
4	Tristan	
4	gartenn	
4	gaved	
4	gerze	
4	e-bed	
4	vɛn	
4	ebaz	
4	paʁk	
4	Po	
4	tirantet	
4	aral	
4	glehan	
4	vet	
4	Lan	
4	dastumer	
4	aozer	
4	bluenn	
4	Barner	
4	zidamall	
4	varned	
4	Dond	
4	varraoui	
4	Roi	
4	bazhadoù	
4	zul	
4	papred	
4	studi	
4	sistr	
4	yac'hus	
4	bleuñv	
4	baon	
4	breman	
4	komision	
4	gelaouenn	
4	moulañ	
4	Bez'	
4	c'helle	
4	pellaad	
4	sant	
4	sent	
4	deusoutañ	
4	gomprenont	
4	gopr	
4	Floc'h.	
4	dihori	
4	ouio	
4	zibab	
4	Yeunig	
4	Deut	
4	gwellaenn	
4	Marc'had	
4	vanko	
4	ouzér	
4	Goest	
4	zonjomp	
4	C.hag)	
4	*eget)	
4	fuel	
4	Malgeneg'	
4	horvad	
4	Bloaz	
4	eostiñ	
4	rozenn	
4	leveres-te	
4	evn	
4	c'hrougous	
4	goulm	
4	kentoh	
4	vrrip	
4	gass	
4	liñsen	
4	’	
4	hovad	
4	ruzell	
4	douget	
4	klañ	
4	voreb	
4	peragoù	
4	penaozioù	
4	aliez	
4	kresket	
4	Almagn	
4	djwele'	
4	Faotfe	
4	arme.	
4	anin)	
4	lar-eoñ	
4	diaouled	
4	espec'h	
4	enefe	
4	pugur	
4	stal	
4	pleuñv-se	
4	bounner	
4	('	
4	virviñ	
4	poazhañ	
4	kuizin	
4	tigeina	
4	stouet	
4	kempenn	
4	a-hont	
4	tae	
4	c'hoaven	
4	war-c'horre	
4	daspugnet	
4	loa-bod	
4	goud	
4	Krugell	
4	gavr-Iniz	
4	run	
4	marw	
4	Derc'hel	
4	roas	
4	Mè	
4	pot	
4	Trapit	
4	dispar	
4	Bale	
4	mennak	
4	lopaat	
4	emeur	
4	nentra	
4	mer'	
4	foutball	
4	leske	
4	foucher	
4	zreb	
4	eizh	
4	aneho	
4	Pad	
4	Nompas	
4	trapet	
4	Ranna	
4	beadra	
4	rehier	
4	lavarfed	
4	Serret	
4	pal	
4	Droug-Spered	
4	holl-viskoazh	
4	razh	
4	beder	
4	araok	
4	raomp	
4	krignat	
4	Bou	
4	Berraad	
4	raont	
4	zennerezh	
4	Diaesaat	
4	kerzhet	
4	Ugent	
4	sailh-mañ	
4	fourchad	
4	meudad	
4	lagoud-jistr	
4	voutailhad	
4	Gaoja	
4	parland	
4	chakat	
4	tay	
4	tañ	
4	Pesort	
4	Get	
4	dostennek-mañ	
4	Karget	
4	fozelloù	
4	a-c'houde	
4	parkoùier	
4	teñvelded	
4	anava	
4	c'hapiten	
4	a-berzh	
4	Couic	
4	ched	
4	a-pih	
4	sorsérez	
4	hounnen	
4	faota	
4	a-dres	
4	a-feson	
4	greiz	
4	Waet	
4	ahec'h	
4	ahanemañ	
4	a-vezk	
4	tadoù	
4	Vo	
4	er-walc'h	
4	oc'hpenn	
4	a-zoc'htoñ	
4	anderù	
4	avansé	
4	Gober	
4	pleg-kein	
4	Guskemanteu	
4	fehé	
4	dehé	
4	alézon	
4	dehon	
4	bédo	
4	aveidomp	
4	c'here	
4	erv	
4	anzava	
4	ãn	
4	ouiahe	
4	Annaig	
4	Stank	
4	eskø	
4	ta:w	
4	ʁe	
4	be:w	
4	Baradoez	
4	Kenevezoñ	
4	On	
4	oeit	
4	nezé	
4	Gerare	
4	huèh	
4	pearzek	
4	Taolenn	
4	milén	
4	bléu	
4	vizer	
4	tesker	
4	sellant	
4	sever	
4	c'hwil	
4	sammet	
4	siwazh	
4	c'huitaet	
4	Pad-on	
4	Gosik	
4	zegouezhont	
4	Kistinid	
4	bijənoX	
4	ẃidon…	
4	əjaleče	
4	raportiɲ	
4	rall	
4	pont	
4	pasemant	
4	tāvarn	
4	Kervrehan	
4	komzal	
4	deskamant	
4	tihunan	
4	badaouet	
4	e-dan	
4	peul	
4	skriteloù	
4	jermaned	
4	Eveshaet	
4	peger	
4	soudarded,	
4	grip	
4	korv	
4	tonet	
4	adrest	
4	haie	
4	asset	
4	sale	
4	Skaret	
4	tañvaet	
4	D	
4	vout	
4	gorv	
4	/šə-ma	
4	xi	
4	xẃex	
4	øyr	
4	blez	
4	Sort-mañ	
4	leih	
4	Honnañ	
4	varisoù	
4	zead	
4	gwan	
4	tewenn	
4	seulamant	
4	jao	
4	houarnoù	
4	nos	
4	àrnin	
4	droug-kein	
4	dud-se	
4	kén	
4	pardon	
4	hun	
4	c'hasit	
4	punissou	
4	pé	
4	ellein	
4	gobér	
4	Chte	
4	oeid	
4	greisnouz	
4	hum	
4	kosha	
4	mezv	
4	truhek	
4	Karnasen-man	
4	burlu	
4	mé	
4	daouzek	
4	dost	
4	(hani	
4	anezhe)	
4	Marivonn	
4	behé	
4	So-se	
4	dwe	
4	sehetã	
4	Maria	
4	Touchant	
4	wriont	
4	liñser	
4	galfec'h	
4	vannika	
4	dornadeg	
4	disadorn	
4	kod	
4	antre	
4	savadur	
4	re-he	
4	Oa-eñ	
4	Kaor	
4	nun	
4	piouff	
4	ol	
4	mag	
4	brañchet	
4	nehon	
4	vliou	
4	Henn	
4	zaorn	
4	bign	
4	alc'hiou,	
4	zeban	
4	sonje	
4	Jose	
4	atchoum	
4	vezin	
4	Deu	
4	kourvo	
4	dize	
4	gôet	
4	pè	
4	resk	
4	fouessenno	
4	ac'halen	
4	Loeiz	
4	e-kriz	
4	peall	
4	vagouez	
4	paoul	
4	voneur	
4	goa	
4	kazeliet	
4	merhed	
4	Tomas	
4	gredas	
4	tal-kichen	
4	Aon	
4	daill	
4	huñvree	
4	Hen	
4	douar-me	
4	méllou	
4	Kleo	
4	Rost'	
4	laez	
4	tomm-béro	
4	fonnusañ	
4	bétégoud	
4	ziztagfè-hi	
4	paw	
4	tiblas	
4	Beuzet	
4	(e)ma	
4	lar-hi,	
4	zistrujañ	
4	Elien	
4	vourremp	
4	bou'	
4	vragoù	
4	c'hazh-koat	
4	Veze	
4	rezon	
4	veze-eñ	
4	v-bale	
4	krenn	
4	emer	
4	lazhañ	
4	digar	
4	Cheinik	
4	lenn.	
4	Darpenn	
4	chal	
4	frekantan	
4	deuzouto	
4	pedavare	
4	deve	
4	diavet	
4	mergl	
4	Distruj	
4	sclavaj	
4	glié	
4	gréet	
4	rouéet	
4	catolik	
4	e-doug	
4	1908	
4	tal	
4	Sar	
4	tisplant	
4	chanch'	
4	greñoñ	
4	ingal	
4	bégur	
4	nintra	
4	e-bet	
4	zibi	
4	leor	
4	fichet	
4	v-malec'h	
4	Rar	
4	beïsanted	
4	lakègn	
4	e-meum	
4	guitaat	
4	zaet	
4	fiziañs	
4	deunt-i	
4	ouiem	
4	blag	
4	nei.	
4	son	
4	kribat	
4	peurvuiañ	
4	beut	
4	mizer	
4	dantin	
4	meus.	
4	diskennet	
4	outan	
4	Resevet	
4	bignat	
4	//	
4	kleved	
4	avad	
4	loaiad	
4	gemered	
4	vloavezhiad	
4	milin	
4	sahadou	
4	vala	
4	uhelder	
4	Miroud	
4	disklavenn	
4	patati	
4	parce	
4	que	
4	varhadourez	
4	c'hapaplañ	
4	pesketerien	
4	Treboul	
4	zud-koz	
4	ginidig	
4	yañtao	
4	houefen	
4	binvidig	
4	Sacha	
4	marhadourien	
4	hoñvers	
4	Nikun	
4	dervezh	
4	Pelloc'h	
4	dalc'her	
4	dres	
4	ea	
4	vare	
4	letoun	
4	bla-mañ	
4	pour	
4	dekoret	
4	skotenn	
4	ouezes	
4	Hoc'h	
4	kamalad	
4	koumañs	
4	Ahanta	
4	ganéz	
4	neo	
4	hellan	
4	Gallek	
4	ivé	
4	benac	
4	né	
4	scriva	
4	prena	
4	helled	
4	toulla	
4	sklabeza	
4	kavoud	
4	brena	
4	housk	
4	deuler	
4	Ouspenn	
4	tramant	
4	archerien	
4	Tragaer	
4	bagoù	
4	er-meas	
4	kadoriou	
4	Eet	
4	a-veh	
4	o-deveze	
4	ranki	
4	chipal	
4	on-doa	
4	ostill	
4	anvet	
4	harpon	
4	Bed	
4	vihanna	
4	bloundin	
4	Merket	
4	mitio	
4	deac'h	
4	c'houlennas	
4	trist	
4	Gelloud	
4	joaz	
4	famil	
4	ébars	
4	ganeom	
4	gelloud	
4	nebeuta	
4	Penmarh	
4	Dabord	
4	winkal	
4	bouch	
4	kuites	
4	ama	
4	Kaol	
4	strev	
4	panez	
4	ranken	
4	defot	
4	er-meaz	
4	dah	
4	kapab	
4	krena	
4	niennon	
4	hanet	
4	Disterra	
4	fallaad	
4	aneuzeu	
4	c'haz	
4	dizolei	
4	c'huziadennou	
4	horv-maro	
4	douetus	
4	hournije	
4	didrouz	
4	goelini	
4	a-uz	
4	Dre-se	
4	Her	
4	dudi	
4	e-tal	
4	német	
4	rea	
4	èném	
4	staga	
4	frigaset	
4	Blaz	
4	ziweza	
4	gern	
4	gouél	
4	ploaz	
4	Degouezhout	
4	hepdale	
4	gwaremm	
4	Magazennoù	
4	gont	
4	glevis	
4	strakadenn	
4	gannet	
4	muioch	
4	youl	
