__
# sent_id = Milin(1924)__1
# text = -N'eus forzh ! eme an ozac'h; gwelet a rankan hag ez eo gwir.
# text_fr = 'Qu'importe ! dit l'homme; Je dois voir si c'est vrai.'
# dialect = Léonard
# source =   Milin (1924)
1	-N'	-N'	-N'	_	_	_	_	_	Gloss=ne
2	eus	eus	préposition	_	_	_	_	_	Gloss=?
3	forzh	E	E	_	_	_	_	_	Gloss=y.a
4		forzh	?	_	_	_	_	_	Gloss=cas
5	!	!	PUNCT	_	_	_	_	_	Gloss=punct
6	eme	eme	?	_	_	_	_	_	Gloss=dit
7	an	art	quantifieur/indéfini/déterminant	_	_	_	_	_	Gloss=le
8	ozac'h	ozac'h	?	_	_	_	_	_	Gloss=vieux
9	;	;	PUNCT	_	_	_	_	_	Gloss=punct
10	gwelet	gwelet	verbe	_	_	_	_	_	Gloss=voir
11	a	a	particule_verbale	_	_	_	_	_	Gloss=R
12	rankan	rankout	modaux/verbe	_	_	_	_	_	Gloss=dois
13	hag	Q	Q	_	_	_	_	_	Gloss=si
14	ez	ez	particule_verbale	_	_	_	_	_	Gloss=R|[[+C]]
15	eo	COP	COP	_	_	_	_	_	Gloss=est
16	gwir	gwir	adjectif/nom	_	_	_	_	_	Gloss=vrai
17	.	.	PUNCT	_	_	_	_	_	Gloss=punct

__
# sent_id = Kerrien(2000:88)__1
# text = A voe graet.
# text_fr = '(Ce) qui fut fait.'
# dialect = Léonard
# source = Kerrien (1926)
1	A	A	%A%	_	_	_	_	_	Gloss=R
2	voe	COP	COP	_	_	_	_	_	Gloss=fut
3	graet	ober.-et_(Adj)	auxiliaire/verbe.?	_	_	_	_	_	Gloss=fa.it
4	.	.	PUNCT	_	_	_	_	_	Gloss=punct

__
# sent_id = Mellouet&Pennec(2004:20)__1
# text = A-benn ugent vloaz dija e peze leun a vicher.
# text_fr = 'A vingt ans, tu avais déjà beaucoup de métier.'
# dialect = Léonard
# source = Mellouet & Pennec (2004)
# texttype = Références de corpus
1	A-benn	a-benn	complémenteur/préposition	_	_	_	_	_	Gloss=au.bout
2	ugent	cardinal	quantifieur/adjectif	_	_	_	_	_	Gloss=20
3	vloaz	bloaz	nom	_	_	_	_	_	Gloss=an
4	dija	dija	?	_	_	_	_	_	Gloss=déjà
5	e	e	particule_verbale	_	_	_	_	_	Gloss=R
6	peze	kaout	auxiliaire/verbe	_	_	_	_	_	Gloss=avait
7	leun	leun	quantifieur/adjectif	_	_	_	_	_	Gloss=plein
8	a	a	particule_verbale	_	_	_	_	_	Gloss=de
9	vicher	micher	nom	_	_	_	_	_	Gloss=métier
